fon,borsa_kodu,isin_kod
QİNVEST PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),IAS,TRYISMD00068
QİNVEST PORTFÖY PARA PİYASASI FONU,EIL,TRMAITWWWWW1
QİNVEST PORTFÖY İKİNCİ DEĞİŞKEN FONU,EIC,TRYERPO00036
QİNVEST PORTFÖY İKİNCİ SERBEST FON,KOP,TRYQPYS00029
RAYMOND JAMES MENKUL KIYMETLER  A TİPİ DEĞİŞKEN FON,RJA,TRYRJYM00015
RAYMOND JAMES MENKUL KIYMETLER A.Ş. (B)TİPİ LİKİT FON,RJL,TRMPRBWWWWW8
RAYMOND JAMES YATIRIM MENKUL KIYMETLER A.Ş. A TİPİ KARMA FONU,RJK,TRYRJYM00031
RAYMOND JAMES YATIRIM MENKUL KIYMETLER A.Ş. B TİPİ DEĞİŞKEN FONU,RJB,TRYRJYM00023
STRATEJİ PORTFÖY BAŞAK SERBEST (DÖVİZ) ÖZEL FON,SBS,TRYSTRP00035
STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,AN1,TRMAN1WWWWW4
STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),ST1,TRMST1WWWWW8
STRATEJİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,STS,TRYSTRP00019
STRATEJİ PORTFÖY FOREST SERBEST FON,FPR,TRYFKSP00021
STRATEJİ PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),STZ,TRYSTRP00027
STRATEJİ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN),FYF,TRYFNYM00061
TACİRLER PORTFÖY DEĞIŞKEN FON,TCD,TRMTCDWWWWW8
TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TKF,TRMTA1WWWWW8
TACİRLER PORTFÖY KARTOPU SERBEST FON,TTL,TRYTACP00050
TACİRLER PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,TCB,TRYTCMD00010
TACİRLER PORTFÖY SERBEST ( DÖVİZ ) FON,TCC,TRYTCMD00028
TACİRLER PORTFÖY SİRİUS SERBEST FON,TCS,TRYTACP00035
TACİRLER PORTFÖY VEGA SERBEST FON,TTV,TRYTACP00043
TACİRLER PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,TPF,TRYTACP00019
TACİRLER PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,TCI,TRYTACP00027
TEB PORTFÖY ALARKO GRUBU DEĞİŞKEN ÖZEL FON,TAO,TRMAOFWWWWW8
TEB PORTFÖY ALTIN FONU,TUA,TRYTEBK00030
TEB PORTFÖY BEŞİNCİ SERBEST FON,TRR,TRYTEBP00153
TEB PORTFÖY BORÇLANMA ARAÇLARI FONU,TBT,TRMTE1WWWWW4
TEB PORTFÖY BOĞAZİÇİ SERBEST (DÖVİZ) FON,TDB,TRYTEBK00246
TEB PORTFÖY BİRİNCİ FON SEPETİ FONU,TPC,TRYTEBP00062
TEB PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,TPJ,TRYTEBP00070
TEB PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,TTS,TRYTEBP00146
TEB PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,TPL,TRYTEBP00054
TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TYH,TRMTYHWWWWW3
TEB PORTFÖY ING BANK PARA PİYASASI FONU,IGL,TRMSU1WWWWW5
TEB PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM DEĞİŞKEN ÖZEL FON,TNI,TRYTEBP00120
TEB PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM SERBEST (DÖVİZ) ÖZEL FON,TIP,TRYTEBP00112
TEB PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,TNK,TRMTE2WWWWW2
TEB PORTFÖY KYF SERBEST (DÖVİZ) ÖZEL FON,TVD,TRYTEBP00088
TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,TPZ,TRYTEBP00047
TEB PORTFÖY MAKRO SERBEST FON,TMR,TRYTEBP00161
TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,TE3,TRMTE3WWWWW0
TEB PORTFÖY PARA PİYASASI FONU,TKM,TRMDMFWWWWW6
TEB PORTFÖY PUSULA SERBEST FON,TPP,TRYTEBP00039
TEB PORTFÖY PY İKİNCİ DEĞİŞKEN ÖZEL FON,TKD,TRYTEBK00014
TEB PORTFÖY TEB GRUBU DEĞİŞKEN ÖZEL FON,TMO,TRYTEBM00036
TEB PORTFÖY TKT SERBEST (DÖVİZ) ÖZEL FON,TDT,TRYTEBP00104
TEB PORTFÖY YABANCI BYF FON SEPETİ FONU,TFF,TRYTEBP00021
TEB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,TOT,TRMDPFWWWWW9
TEB PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,TTP,TRYTEBP00138
TEB PORTFÖY İKİNCİ DEĞİŞKEN FON,IDY,TRYOYKB00013
TEB PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON,TDP,TRYTEBP00096
YAPI KREDİ PORTFÖY ALTIN FONU,YKT,TRYYKBK00110
YAPI KREDİ PORTFÖY BALAT SERBEST (DÖVİZ) FON,YPL,TRYYAPO00097
YAPI KREDİ PORTFÖY BEBEK SERBEST (DÖVİZ) FON,YYB,TRYYAPO00170
YAPI KREDİ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YEF,TRMYEFWWWWW9
YAPI KREDİ PORTFÖY BİRİNCİ FON SEPETİ FONU,YAN,TRYYAPO00063
YAPI KREDİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YHS,TRMKC5WWWWW6
YAPI KREDİ PORTFÖY DRAGOS SERBEST  FON,YSF,TRYYAPO00055
YAPI KREDİ PORTFÖY EMİRGAN SERBEST (DÖVİZ) FON,YMM,TRYYAPO00154
YAPI KREDİ PORTFÖY EUROBOND (DOLAR) BORÇLANMA ARAÇLARI FONU,YBE,TRMKHYWWWWW2
YAPI KREDİ PORTFÖY GALATA SERBEST FON,YPK,TRYYAPO00022
YAPI KREDİ PORTFÖY KARMA FON,YAK,TRMYAKWWWWW7
YAPI KREDİ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,YHT,TRYKCMD00019
YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),YAS,TRMKAKWWWWW6
YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,YFV,TRYYKBK00607
YAPI KREDİ PORTFÖY ODEABANK SERBEST (DÖVİZ)ÖZEL FON,YRO,TRYYAPO00113
YAPI KREDİ PORTFÖY ODEABANK İKİNCİ SERBEST ÖZEL FON,YOP,TRYYAPO00162
YAPI KREDİ PORTFÖY ODEABANK İKİNCİ SERBEST(DÖVİZ)ÖZEL FON,YRF,TRYYAPO00147
YAPI KREDİ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU,YOT,TRMKC4WWWWW9
YAPI KREDİ PORTFÖY PARA PİYASASI FONU,YLB,TRMKLYWWWWW4
YAPI KREDİ PORTFÖY PY BORÇLANMA ARAÇLARI (DÖVİZ) ÖZEL FONU,YOA,TRYYAPO00048
YAPI KREDİ PORTFÖY PY BİRİNCİ DEĞİŞKEN ÖZEL FON,YBP,TRMKBLWWWWW2
YAPI KREDİ PORTFÖY PY ERENKÖY  SERBEST (DÖVIZ) ÖZEL FON,YZF,TRYYAPO00188
YAPI KREDİ PORTFÖY PY KUZGUNCUK SERBEST ÖZEL FON,YPP,TRYYAPO00089
YAPI KREDİ PORTFÖY PY ÜÇÜNCÜ DEĞİŞKEN ÖZEL FON,YDP,TRYYKYM00019
YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU,YTD,TRYYKBK00011
YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU,YAY,TRMYK9WWWWW2
YAPI KREDİ PORTFÖY YEDİTEPE SERBEST FON,YPF,TRYYAPO00014
YAPI KREDİ PORTFÖY ÇALIŞAN HESAP KISA VADELİ BORÇLANMA ARAÇLARI FONU,YDK,TRYYKBK00474
YAPI KREDİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,YBS,TRYYKBK00409
YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,YSU,TRYYKBK00524
YAPI KREDİ PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,YPV,TRYYAPO00196
YAPI KREDİ PORTFÖY İKİNCİ FON SEPETİ FONU,YAC,TRYYAPO00071
YAPI KREDİ PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),YDI,TRYYKBK00458
YAPI KREDİ PORTFÖY İSTANBUL SERBEST FON,YKS,TRYYKBK00060
ZİRAAT PORTFÖY ALTIN KATILIM FONU,TCA,TRYTCZB00057
ZİRAAT PORTFÖY BORÇLANMA ARAÇLARI FONU,TZT,TRYTCZB00040
ZİRAAT PORTFÖY BÜYÜYEN ÇOCUKLARA YÖNELİK DEĞİŞKEN ÖZEL FON,TZC,TRYTCZB00149
ZİRAAT PORTFÖY BİRİNCİ DEĞİŞKEN FON,ZDD,TRYZIPO00147
ZİRAAT PORTFÖY FON SEPETİ FONU,ZPC,TRYZIPO00071
ZİRAAT PORTFÖY HALKBANK KISA VADELİ BORÇLANMA ARAÇLARI FONU,HKV,TRMPM2WWWWW6
ZİRAAT PORTFÖY HALKBANK KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,HPV,TRYHALP00031
ZİRAAT PORTFÖY HALKBANK PARA PİYASASI FONU,HLL,TRYTHAL00017
ZİRAAT PORTFÖY HEDEF SERBEST ÖZEL FON,HPC,TRYHALP00049
ZİRAAT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TZD,TRMTZDWWWWW9
ZİRAAT PORTFÖY KATILIM ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),ZPE,TRYZIPO00055
ZİRAAT PORTFÖY KATILIM FONU (DÖVİZ),ZPF,TRYZIPO00030
ZİRAAT PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,TZV,TRMTZ3WWWWW5
ZİRAAT PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,ZPK,TRYZIPO00089
ZİRAAT PORTFÖY KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,ZPG,TRYZIPO00048
ZİRAAT PORTFÖY PARA PİYASASI FONU,TZL,TRYTCZB00156
ZİRAAT PORTFÖY S&P/OIC COMCEC (İSEDAK) 50 SHARİAH ENDEKSİ YABANCI HİSSE SENEDİ FONU,ZSF,TRYZIPO00097
ZİRAAT PORTFÖY SERBEST (DÖVİZ) FON,ZPA,TRYZIPO00022
ZİRAAT PORTFÖY TZH SERBEST ÖZEL FON,TZH,TRYZIPO00139
ZİRAAT PORTFÖY VAKIFBANK KISA VADELİ BORÇLANMA ARAÇLARI FONU,VKT,TRYVKFB00082
ZİRAAT PORTFÖY VAKIFBANK PARA PİYASASI FONU,VK6,TRMVK6WWWWW1
ZİRAAT PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,ZDZ,TRYZIPO00154
ZİRAAT PORTFÖY İKİNCİ DEĞİŞKEN FON,ZBD,TRMKN3WWWWW8
ZİRAAT PORTFÖY İKİNCİ KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,VFK,TRYZIPO00170
ÜNLÜ MENKUL DEĞERLER A.Ş. ANGORA VARLIK FİNANSMAN FONU,UMV,TRYDUUM00044
ÜNLÜ PORTFÖY ALTINCI SERBEST (DÖVİZ) ÖZEL FON,UAP,TRYUNPO00155
ÜNLÜ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) ÖZEL FON,UPS,TRYUNPO00130
ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON,SUA,TRYDUUM00010
ÜNLÜ PORTFÖY DÖRDÜNCÜ SERBEST FON,UPD,TRYUNPO00049
ÜNLÜ PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),UPH,TRYUNPO00114
ÜNLÜ PORTFÖY MUTLAK GETİRİ HEDEFLİ SERBEST FON,USY,TRYDUUM00036
ÜNLÜ PORTFÖY PARA PİYASASI FONU,UPP,TRYUNPO00148
ÜNLÜ PORTFÖY YEDİNCİ SERBEST ÖZEL FON,GGL,TRYUNPO00163
ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON,SUC,TRYUNPO00023
ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON,SUB,TRYDUUM00028
İSTANBUL PORTFÖY ALTINCI SERBEST FON,IZS,TRYISTP00125
İSTANBUL PORTFÖY ARK I SERBEST FON,IAF,TRYISMD00183
İSTANBUL PORTFÖY ARK II SERBEST FON,FYA,TRYFNYM00079
İSTANBUL PORTFÖY ARİES SERBEST FON,IIP,TRYISMD00217
İSTANBUL PORTFÖY BEŞİNCİ SERBEST FON,IBE,TRYISTP00091
İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,IPB,TRYISMD00159
İSTANBUL PORTFÖY DÖRDÜNCÜ SERBEST FON,IAR,TRYISTP00067
İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),ACK,TRYACMD00010
İSTANBUL PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,IST,TRYISMD00076
İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU,ARE,TRYGRAN00498
İSTANBUL PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,IFY,TRYISTP00133
İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),IIH,TRYISTP00109
İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,ACD,TRMACDWWWWW8
İSTANBUL PORTFÖY İKİNCİ SERBEST FON,IIS,TRYISTP00042
İSTANBUL POTFÖY MAESTRO SERBEST FON,IMF,TRYISTP00117
İŞ PORTFÖY %105 ANAPARA KORUMA AMAÇLI DÖRDÜNCÜ FON,IZP,TRYISPO00431
İŞ PORTFÖY AAF SERBEST (DÖVİZ) ÖZEL FON,CTP,TRYISPO00548
İŞ PORTFÖY AG SERBEST (DÖVİZ) ÖZEL FON,IPZ,TRYISPO00084
İŞ PORTFÖY ALTIN FONU,TTA,TRYTISB00422
İŞ PORTFÖY ANADOLU HAYAT EMEKLİLİK SERBEST ÖZEL FON,IMH,TRYISPO00332
İŞ PORTFÖY ANADOLU SİGORTA SERBEST ÖZEL FON,IPE,TRYISPO00068
İŞ PORTFÖY ARCADİA SERBEST (DÖVİZ) ÖZEL FON,ICG,TRYISPO00365
İŞ PORTFÖY AS SERBEST ÖZEL FON,IPU,TRYISPO00019
İŞ PORTFÖY ASSG SERBEST ÖZEL FON,CTF,TRYISPO00498
İŞ PORTFÖY ASİST SERBEST ÖZEL FON,IMM,TRYISPO00480
İŞ PORTFÖY AYAYDIN SERBEST (DÖVİZ) ÖZEL FON,IFF,TRYISPO00415
İŞ PORTFÖY BAYRAKTARLAR HOLDİNG DEĞİŞKEN ÖZEL FON,IBD,TRYISMD00118
İŞ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TIE,TRMTIEWWWWW3
İŞ PORTFÖY BİRİKİM HESABI KISA VADELİ BORÇLANMA ARAÇLARI FONU,IPI,TRYISPO00118
İŞ PORTFÖY BİRİNCİ DEĞIŞKEN FON,TI4,TRMTI4WWWWW4
İŞ PORTFÖY BİRİNCİ SERBEST ÖZEL FON,ISR,TRYISPO00167
İŞ PORTFÖY BİST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TAU,TRMTAUWWWWW6
İŞ PORTFÖY BİST TEKNOLOJİ AĞIRLIKLI SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TTE,TRMTTEWWWWW0
İŞ PORTFÖY CENOVA SERBEST ÖZEL FON,IBC,TRYISPO00175
İŞ PORTFÖY CEY SERBEST (DÖVİZ) ÖZEL FON,CEY,TRYISPO00282
İŞ PORTFÖY CK SERBEST ÖZEL FON,IPC,TRYISPO00027
İŞ PORTFÖY DEĞER SERBEST ÖZEL FON,ISS,TRYISMD00209
İŞ PORTFÖY DURUSU SERBEST ÖZEL FON,KPK,TRYISPO00589
İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON,IPJ,TRYISPO00191
İŞ PORTFÖY EMSA SERBEST ÖZEL FON,EMS,TRYISPO00555
İŞ PORTFÖY EMTIA YABANCI BYF FON SEPETI FONU,TGE,TRYTISB00042
İŞ PORTFÖY ESEN SERBEST ÖZEL FON,NBF,TRYISPO00563
İŞ PORTFÖY ETİK SERBEST (DÖVİZ) ÖZEL FON,IDE,TRYISPO00340
İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,IPV,TRYISPO00100
İŞ PORTFÖY FEFON SERBEST  ÖZEL FON,CTG,TRYISPO00514
İŞ PORTFÖY GÜMÜŞ SERBEST FON,IOG,TRYISPO00597
İŞ PORTFÖY HEDEF SERBEST FON,IYR,TRYISMD00191
İŞ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TI2,TRMTI2WWWWW8
İŞ PORTFÖY ICARUS SERBEST ÖZEL FON,IPR,TRYISPO00043
İŞ PORTFÖY KAPİTAL SERBEST FON,IPG,TRYISPO00076
İŞ PORTFÖY KEFON SERBEST ÖZEL FON,CTM,TRYISPO00522
İŞ PORTFÖY KISA VADELI BORÇLANMA ARAÇLARI FONU,TIV,TRMTI5WWWWW1
İŞ PORTFÖY KOS SERBEST ÖZEL FON,IPK,TRYISPO00035
İŞ PORTFÖY KUMBARA HESABI KARMA ÖZEL FON,TKK,TRMTKKWWWWW6
İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,IAT,TRYISMD00027
İŞ PORTFÖY MAKSİMUM HESAP KISA VADELI BORÇLANMA ARAÇLARI FONU,TSI,TRYTISB00026
İŞ PORTFÖY MAVİ SERBEST (DÖVİZ) ÖZEL FON,IMV,TRYISPO00308
İŞ PORTFÖY MAXIMUM KART KISA VADELİ BORÇLANMA ARAÇLARI FONU,IBK,TRYTISB00505
İŞ PORTFÖY MERMER SERBEST ÖZEL FON,IMS,TRYISPO00217
İŞ PORTFÖY MHA SERBEST ÖZEL FON,CTV,TRYISPO00530
İŞ PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,KKH,TRYISPO00571
İŞ PORTFÖY ODAK SERBEST ÖZEL FON,IMO,TRYISPO00225
İŞ PORTFÖY ODEABANK PARA PİYASASI FONU,IOP,TRYISPO00472
İŞ PORTFÖY ONUR SERBEST ÖZEL FON,IPO,TRYISPO00050
İŞ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU,TI6,TRMTI6WWWWW9
İŞ PORTFÖY PARA PİYASASI FONU,TI1,TRMTI1WWWWW0
İŞ PORTFÖY POYRAZ SERBEST (DÖVİZ) ÖZEL FON,IMZ,TRYISPO00290
İŞ PORTFÖY PRIVIA BANKACILIK DEĞİŞKEN ÖZEL FON,TBP,TRYTISB00067
İŞ PORTFÖY PY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) ÖZEL FONU,TPE,TRYTISB00646
İŞ PORTFÖY PY HİSSE SENEDİ ÖZEL FONU (HİSSE SENEDİ YOĞUN FON),TPR,TRYTISB00661
İŞ PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI ÖZEL FONU,TPO,TRYTISB00489
İŞ PORTFÖY RESAN DEĞİŞKEN ÖZEL FON,YAR,TRMYARWWWWW2
İŞ PORTFÖY ROTA 1 SERBEST (DÖVİZ) ÖZEL FON,DPR,TRYDNZP00090
İŞ PORTFÖY SERBEST (DÖVİZ) FON,IDF,TRYISPO00241
İŞ PORTFÖY SKYLARK SERBEST (DÖVİZ) ÖZEL FON,IMY,TRYISPO00233
İŞ PORTFÖY SÜTAŞ SERBEST ÖZEL FON,IYS,TRYISMD00019
İŞ PORTFÖY SÜTAŞ İKİNCİ DEĞİŞKEN ÖZEL FON,IPA,TRYISMD00043
İŞ PORTFÖY TEMA  DEĞİŞKEN FON,TMC,TRYTISB00075
İŞ PORTFÖY TOROS SERBEST (DÖVİZ) ÖZEL FON,IMT,TRYISPO00324
İŞ PORTFÖY VİRTUS SERBEST (DÖVİZ) ÖZEL FON,OSV,TRYOSMK00046
İŞ PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,TDG,TRYTISB00034
İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU,TMG,TRMTYFWWWWW7
İŞ PORTFÖY ÇAĞIL SERBEST (DÖVİZ) ÖZEL FON,IDC,TRYISPO00357
İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA  ARAÇLARıNA YATIRIM YAPAN %107 ANAPARA KORUMA AMAÇLI ÜÇÜNCÜ FON,IAK,TRYISPO00381
İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,TBV,TRMTMEWWWWW5
İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %107 ANAPARA KORUMA AMAÇLI İKİNCİ FON,IKF,TRYISPO00373
İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %117 ANAPARA KORUMA AMAÇLI BİRİNCİ FON,IOC,TRYISPO00316
İŞ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON,IBB,TRYISPO00183
İŞ PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,IUU,TRYISPO00449
İŞ PORTFÖY İKİNCİ DEĞİŞKEN FON,TI7,TRMTI7WWWWW7
İŞ PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON,IID,TRYISPO00423
İŞ PORTFÖY İKİNCİ SERBEST (DÖVİZ) ÖZEL FON,ISJ,TRYISPO00159
İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TI3,TRMTI3WWWWW6
